source_site,source_product_id,name,sku,permalink,price,regular_price,sale_price,on_sale,category_slugs,category_names,size_inferred,gsm_inferred,in_stock,image_primary,short_description_text
banhat,6449,Giấy in ảnh A4 1 mặt 180 gsm,GINANHA41801M,https://vanphongphambanhat.com.vn/san-pham/giay-in-anh-a4-1-mat-180-gsm/,52000,59000,52000,True,giay-in-anh|giay-in-van-phong,Giấy In Ảnh|GIẤY IN VĂN PHÒNG,,180,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-anh-A4-230.png,"Giấy in ảnh A4 1 mặt 180 gsm
Loại giấy:
giấy in ảnh 1 mặt
Sản Xuất: Việt Nam
Quy cách:
Khổ
A4
Kích thước:
210 x 297mm
Định lượng
:
180 gsm
Đóng gói:
50 tờ / 1 xấp
Xuất xứ:
Giấy in ảnh A4 1 mặt 180 gsm
là một trong những loại giấy in được sản xuất trực tiếp tại Trung Quốc"
banhat,6450,Giấy in ảnh A4 1 mặt 230 gsm,GINANHA42301M,https://vanphongphambanhat.com.vn/san-pham/giay-in-anh-a4-1-mat-230-gsm/,56000,63000,56000,True,giay-in-anh|giay-in-van-phong,Giấy In Ảnh|GIẤY IN VĂN PHÒNG,,230,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-anh-A4-230.png,"Giấy in ảnh A4 1 Mặt 230 gsm
là một trong những loại giấy in được khách hàng ưa chuộng nhất hiện nay.
Loại giấy:
giấy in ảnh 1 mặt
Sản Xuất:
Việt Nam
Quy cách:
Khổ
A4
Kích thước:
210 x 297mm
Định lượng
:
230 gsm
Đóng gói:
50 tờ / 1 xấp"
banhat,6451,Giấy in ảnh A4 2 mặt 160 gsm,GINANHA41602M,https://vanphongphambanhat.com.vn/san-pham/giay-in-anh-a4-2-mat-160-gsm/,55000,62000,55000,True,giay-in-anh|giay-in-van-phong,Giấy In Ảnh|GIẤY IN VĂN PHÒNG,A4,160,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-anh-A4-230.png,"Giấy in ảnh A4 2 mặt 160 gsm
+ Loại giấy khổ A4
+ Số lượng đóng gói: 50 tờ/ tập, 20 tập/thùng
+ 2 mặt giấy dày dặn, sáng bóng và đều màu.
+ Giấy chuyên dùng cho các loại máy in màu.
+ Có thể dùng để in đa dạng các loại ảnh như ảnh kỹ thuật cao, ảnh gia đình, ảnh cá nhân"
banhat,6452,Giấy in ảnh 2 mặt A4 230 gsm,GINANHA42302M,https://vanphongphambanhat.com.vn/san-pham/giay-in-anh-2-mat-a4-230-gsm/,66000,110000,66000,True,giay-in-anh|giay-in-van-phong,Giấy In Ảnh|GIẤY IN VĂN PHÒNG,A4,230,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-anh-a3-230-gsm-1.png,"Giấy in ảnh 2 mặt A4 230 gsm
Tên sản phẩm: Giấy in ảnh 2 mặt.
Loại giấy: Giấy in ảnh
Khổ giấy: A4.
Độ dày: 230 gsm
Đóng gói: 50 tờ/ xấp.
Công nghệ in: Công nghệ in phun màu liên tục.
Máy in: Sử dụng được với tất cả các loại máy in phun và laser
Số lượng mặt in: 2 mặt.
Xuất xứ: Việt Nam
Ứng dụng: In ảnh gia đình, in ảnh quảng cáo, in menu, catalogue,…"
banhat,6453,Giấy in ảnh 2 mặt 260 gsm,GINANHA42602M,https://vanphongphambanhat.com.vn/san-pham/giay-in-anh-2-mat-260-gsm/,78000,85000,78000,True,giay-in-anh|giay-in-van-phong,Giấy In Ảnh|GIẤY IN VĂN PHÒNG,,260,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-anh-A4-230.png,"Giấy in ảnh 2 mặt 260 gsm A4
Tên sản phẩm: giấy in ảnh 2 mặt 260 gsm
Loại giấy: Giấy in ảnh Glossy.
Khổ giấy: A4.
Độ dày: 260 gsm
Đóng gói: 50 – 100 tờ/ xấp.
Công nghệ in: Công nghệ in phun màu liên tục.
Máy in: Sử dụng được với tất cả các loại máy in phun và laser
Số lượng mặt in: 2 mặt.
Xuất xứ: Việt Nam
Ứng dụng: In ảnh gia đình, in ảnh quảng cáo, in menu, catalogue,…"
banhat,6454,Giấy in ảnh 2 mặt 300 gsm A4,,https://vanphongphambanhat.com.vn/san-pham/giay-in-anh-2-mat-300-gsm-a4/,1,1000,1,True,giay-in-anh|giay-in-van-phong,Giấy In Ảnh|GIẤY IN VĂN PHÒNG,,300,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-anh-A4-230.png,"Giấy in ảnh 2 mặt 300 gsm
Loại giấy:
giấy in ảnh 2 mặt
–
Sản Xuất:
Việt Nam
–
Quy cách:
Khổ A4
–
Kích thước:
210 x 297mm
–
Định lượng
: 300 gsm
–
Đóng gói:
50 tờ / 1 tập
–
Xuất xứ: Vietnam"
banhat,6455,Giấy in ảnh A3 230 gsm,GINANHA32301M,https://vanphongphambanhat.com.vn/san-pham/giay-in-anh-a3-230-gsm/,112000,128000,112000,True,giay-in-anh|giay-in-van-phong,Giấy In Ảnh|GIẤY IN VĂN PHÒNG,,230,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-anh-a3-230-gsm-1.png,"Giấy in ảnh A3 230 gsm
1 mặt
Loại giấy:
giấy in ảnh 1 mặt
Sản Xuất:
Việt Nam
Quy cách:
Khổ
A3
Kích thước:
297x 420 mm
Định lượng
:
230 gsm
Đóng gói:
50 tờ / 1 tập
Xuất xứ:
Việt Nam"
banhat,6456,Giấy Ép Plastic A5 80mic,BEPLASTICA580,https://vanphongphambanhat.com.vn/san-pham/giay-ep-plastic-a5-80mic/,70000,75000,70000,True,giay-bia-mau|chua-duoc-phan-loai|giay-in-van-phong,Giấy Bìa Màu|Chưa được phân loại|GIẤY IN VĂN PHÒNG,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/bia-plastic-ep-giay-a5.png,"Bìa plastic ép giấy A5
xuất xứ từ Trung Quốc. Một trong những dòng giấy  sản xuất trên chất liệu cao cấp, thiết bị cao cấp và hiện đại. Chuyên dùng cho dân văn phòng và các tiệm in ấn giúp bảo vệ các giấy tờ trong thời gian dài nhất.
Nhà sản xuất: Trung Quốc.
Kích thước:Khổ A5 (160×225mm).
Chất liệu: nhựa trong suốt.
Đơn vị tính: Xấp.
Chất lượng: đẹp, bền cùng thời gian."
banhat,6457,Giấy Ép Plastic A4 80mic,BEPLASTICA480,https://vanphongphambanhat.com.vn/san-pham/giay-ep-plastic-a4-80mic/,110000,140000,110000,True,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,A4,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/bia-plastic-ep-giay-a4.png,"Tấm nhựa giấy ép plastic A4 80mic bằng c
hất liệu hạt nhựa FET, keo EVA, c
ấu tạo hai lớp màng nhựa, keo.
Sản phẩm màng nhựa ép plastic được đánh giá là có độ dày vừa phải, thích hợp với mọi nhu cầu ép giấy tờ, hình ảnh hay các loại văn bằng khác. Do màng ép plastic được làm từ nhựa PET nên luôn cho độ trong suốt cao cũng như độ bám dính tốt khi gặp nhiệt độ cao. Giấy ép plastic này có thể tương thích dùng được với tất cả các dòng máy ép plastic trên thị trường hiện nay mà không kén máy."
banhat,6458,Giấy Ép Plastic A3 80mic,BEPLASTICA380,https://vanphongphambanhat.com.vn/san-pham/giay-ep-plastic-a3-80mic/,220000,250000,220000,True,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,A3,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/bia-plastic-ep-giay-A3.png,"Tấm nhựa ép plastic giấy A3 80mic
Bìa plastic ép giấy A3 là sản phẩm chuyên dùng cho các loại máy ép plastic. Để ép các loại như ảnh, hồ sơ, bằng khen, ấn phẩm, giấy thông báo, bảng chỉ dẫn, CMND hay các tài liệu, chứng từ quan trọng khác.
Sử dụng giấy ép plastic này giúp cho các tài liệu của bạn được bảo quản bền lâu, không bị phai màu, hoen ố.
Bìa ép plastic được làm bằng chất liệu nhựa trong suốt."
